지역명,측정소명,측정소 주소,운영기관,설치년도
강원,신사우동,강원특별자치도 춘천시 사우4길 26 신사우도서관 2층 옥상 (우두동),강원특별자치도보건환경연구원,2020
강원,양구읍,강원특별자치도 양구군 양구읍 관공서로 33 양구읍 측정소,강원특별자치도보건환경연구원,2018
강원,양양읍,강원특별자치도 양양군 양양읍 남문로 39 양양군 군의회 옥상,강원특별자치도보건환경연구원,2018
강원,영월읍,강원특별자치도 영월군 영월읍 팔괴로 7-3 능동배수펌프장 부지내 지상,강원특별자치도보건환경연구원,2018
강원,옥천동,강원특별자치도 강릉시 경강로 2179(옥천동 327-2) 옥천동주민센터 2층 옥상,강원특별자치도보건환경연구원,1995
강원,인제읍,강원특별자치도 인제군 인제읍 비봉로44번길 93 인제군기상관측소,강원특별자치도보건환경연구원,2019
강원,정선읍,강원특별자치도 정선군 정선읍 정선로 1331 정선읍행정복지센터 옥상,강원특별자치도보건환경연구원,2018
강원,주문진읍,강원특별자치도 강릉시 주문진읍 항구로 19 주문진보건출장소,강원특별자치도보건환경연구원,2021
강원,중앙동(강원),강원특별자치도 원주시 충정길 12(학성동 206-6) 중앙동주민센터 3층 옥상,강원특별자치도보건환경연구원,1988
강원,중앙로,강원특별자치도 춘천시 중앙로길 135(중앙로 3가 67-1) 춘천시보건소 3층 옥상,강원특별자치도보건환경연구원,2003
강원,지정면,강원특별자치도 원주시 지정면 기업도시로 200 원주의료기기테크노벨리 부지 내 주차장,강원특별자치도보건환경연구원,2021
강원,천곡동,강원특별자치도 동해시 천곡로 77(천곡동 806) 동해시의회 2층 옥상,강원특별자치도보건환경연구원,1996
강원,평창읍,강원특별자치도 평창군 평창읍 종부로 61(종부리 504) 평창군보건의료원 2층 옥상,강원특별자치도보건환경연구원,2017
강원,홍천읍,강원특별자치도 홍천군 홍천읍 연봉동로 27 홍천기상관측소,강원특별자치도보건환경연구원,2018
강원,화천읍,강원특별자치도 화천군 화천읍 화천새싹길 45 건설방재과 옥상,강원특별자치도보건환경연구원,2018
강원,황지동,강원특별자치도 태백시 태붐로 21 태백시청 부지 내 지상 (황지동),강원특별자치도보건환경연구원,2018
강원,횡성읍,강원특별자치도 횡성군 횡성읍 중앙로 30 친환경급식지원센터,강원특별자치도보건환경연구원,2018
충남,고덕면(충남),충청남도 예산군 고덕면 예당산단4길 147 예당일반산업단지 폐수처리장 내,충청남도보건환경연구원,2023
충남,공주,충남 공주시 봉황로 1 (공주시의회 옥상),충청남도보건환경연구원,2017
충남,금산읍,충남 금산군 금산읍 비호로 69 금산읍사무소 별관 1층 옥상,충청남도보건환경연구원,2017
충남,내포,충청남도 홍성군 홍북읍 홍예공원로 8 충남보건환경연구원 부지내 1층,충청남도보건환경연구원,2019
충남,논산,충남 논산시 시민로 389 (취암/부창동 행정복지센터 2층 옥상),충청남도보건환경연구원,2017
충남,당진시청사,충남 당진시 시청1로 1 당진시청사,충청남도보건환경연구원,2017
충남,대산리,충청남도 서산시 대산읍 충의로 1942 대산종합시장 옥상,충청남도보건환경연구원,2018
충남,대천2동,충남 보령시 중앙로 142-16 (대천2동 주민센터 옥상),충청남도보건환경연구원,2017
충남,도고면,충남 아산시 도고면 기곡리 296-4 기곡1리 마을회관 지상,충청남도보건환경연구원,2018
충남,독곶리,충남 서산시 대산읍 평신1로(독곶리) 한국수자원공사 대산산업용수센터 저수동 옥상,충청남도보건환경연구원,
충남,동문동,충청남도 서산시 중앙로 38-1 서산초등학교 (동문동),충청남도보건환경연구원,1996
충남,둔포면,충청남도 아산시 둔포면 중앙공원로 43 둔포면 측정소,충청남도보건환경연구원,2018
충남,모종동,충남 아산시 모종동 573-2 보건소옥상,충청남도보건환경연구원,2007
충남,배방읍,충남 아산시 배방읍 배방로 38 배방읍사무소 옥상,충청남도보건환경연구원,2017
충남,백석동,충청남도 천안시 서북구 음봉로 861-50 한들문화센터 (백석동),충청남도보건환경연구원,2023
충남,부여읍,충남 부여군 부여읍 사비로 36 (부여읍행정복지센터 옥상),충청남도보건환경연구원,2017
충남,삽교읍,충청남도 예산군 삽교읍 두리3길 33 삽교읍 행정복지센터 옥상,충청남도보건환경연구원,2021
충남,서면,충남 서천군 서면 서인로 761 서면보건지소옥상,충청남도보건환경연구원,2017
충남,서천읍,충남 서천군 서천읍 서천로14번길 20 서천읍 문예의전당 주차장,충청남도보건환경연구원,2017
충남,성거읍,충청남도 천안시 서북구 성거읍 천흥8길 7 천흥산업단지 내 족구장 지상,충청남도보건환경연구원,2017
충남,성동면,충청남도 논산시 성동면 산업단지로5길 73-28 논산지방산업단지 기숙사 옥상,충청남도보건환경연구원,2020
충남,성연면,충남 서산시 성연면 마루들길 15 보건지소 옥상,충청남도보건환경연구원,2019
충남,성황동,충남 천안시 동남구 복자1길 24 문성어린이집 문성시립보육시설 옥상,충청남도보건환경연구원,2007
충남,송산면,충남 당진시 송산면 유곡로 342-27 공공하폐수처리시설,충청남도보건환경연구원,2018
충남,송악면,충청남도 아산시 송악면 송악로 790 송악면행정복지센터,충청남도보건환경연구원,2021
충남,신방동,충남 천안시 동남구 천안천변길 127 천안시 맑은물사업소 하수처리장 (신방동),충청남도보건환경연구원,2019
충남,엄사면,충청남도 계룡시 엄사면 번영7길 17 엄사도서관 옥상,충청남도보건환경연구원,2017
충남,연무읍,충청남도 논산시 연무읍 안심로 50 연무읍사무소 옥상,충청남도보건환경연구원,2020
충남,예산군,충남 예산군 예산읍 신흥길 63 (다목적 노인회관 옥상),충청남도보건환경연구원,2017
충남,원북면,충청남도 태안군 원북면 상리길 17-4 원북면 보건지소 옥상,충청남도보건환경연구원,2020
충남,이원면,충남 태안군 이원면 분지길 14 (이원면사무소 1층 나동 옥상),충청남도보건환경연구원,2017
충남,인주면,충청남도 아산시 인주면 인주산단로 23-28 인주면 측정소,충청남도보건환경연구원,2018
충남,장항읍,"충청남도 서천군 장항읍 장산로 297 한국철도시설공단 부지내, 공원로 지상 1층",충청남도보건환경연구원,2019
충남,정산면,충청남도 청양군 정산면 칠갑산로 1861 정산커뮤니티센터,충청남도보건환경연구원,2020
충남,주교면,충청남도 보령시 주교면 울계큰길 396 주교면사무소 옥상,충청남도보건환경연구원,2018
경남,아주동,경남 거제시 아주동 산164-1 거제시 옥포 유해대기측정소,경상남도보건환경연구원,2022
충남,탄천면,충청남도 공주시 탄천면 안터새말길 34 안영1리 경로당 옥상,충청남도보건환경연구원,2019
충남,태안읍,충남 태안군 태안읍 군청6길 태안군장애인복지관,충청남도보건환경연구원,2017
충남,합덕읍,충청남도 당진시 합덕읍 합덕리 344 합덕리,충청남도보건환경연구원,2021
충남,홍성읍,충남 홍성군 홍성읍 내포로 136번길 29 (느티나무 어린이집 옥상),충청남도보건환경연구원,2017
대전,관평동,대전광역시 유성구 테크노중앙로 88 동화울수변공원 내 (관평동),대전광역시보건환경연구원,2020
대전,구성동,대전 유성구 대학로 407 보건환경연구원 보건환경연구원,대전광역시보건환경연구원,2007
대전,노은동,대전 유성구 노은동로 87번길 89(노은1동 주민센터) 노은1동 주민센터 3층 옥상,대전광역시보건환경연구원,2011
대전,대성동,대전광역시 동구 동구청로 36 남부여성가족원 (대성동),대전광역시보건환경연구원,2018
대전,둔산동,대전 서구 둔산서로 84(근로자 종합복지회관) 근로자 종합복지회관(3층 옥상),대전광역시보건환경연구원,2006
대전,문창동,대전 중구 보문로 20번길 38(문창동 주민센터) 문창동 주민센터,대전광역시보건환경연구원,1986
대전,상대동(대전),대전광역시 유성구 도안대로 398 대전역사박물관 (상대동),대전광역시보건환경연구원,2018
대전,성남동1,대전 동구 계족로 368번길 70(성남동 주민센터) 성남동 주민센터,대전광역시보건환경연구원,2003
대전,읍내동,대전 대덕구 대전로 1331번길 75(태아산업(주)) 태아산업(주),대전광역시보건환경연구원,1988
대전,정림동,대전 서구 정림동로 10(정림동 주민센터) 정림동 주민센터,대전광역시보건환경연구원,2004
충북,가덕면,충청북도 청주시 상당구 가덕면 보청대로 4650 가덕면사무소 앞쪽 부지,충청북도보건환경연구원,
충북,감물면,충청북도 괴산군 감물면 충민로신대길 13 감물면사무소 지상,충청북도보건환경연구원,
충북,괴산읍,충북 괴산군 괴산읍 서부리 377-1 반석아파트 앞 지상,충청북도보건환경연구원,2018
충북,단양읍,충청북도 단양군 단양읍 별곡6길 26 공설운동장 공중화장실 옥상,충청북도보건환경연구원,2019
충북,덕산읍,충청북도 진천군 덕산읍 대월로 90 혁신도시공원 관리사무소 옥상,충청북도보건환경연구원,
충북,도안면,충청북도 증평군 도안면 문화마을길 8 도안면사무소 옥상,충청북도보건환경연구원,2018
충북,매포읍,"충북 단양군 매포읍 평동리 1274(평동33길 3),(매포 보건지소 마당) 매포보건지소 지상",충청북도보건환경연구원,2011
충북,보은읍,충청북도 보은군 보은읍 이평리 244 보은군 스포츠파크,충청북도보건환경연구원,2018
충북,사천동,"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층) 청주청원도서관 옥상",충청북도보건환경연구원,1994
충북,산남동,충청북도 청주시 서원구 원흥로 81 청주지방법원 옆 주차장 지상 (산남동),충청북도보건환경연구원,2018
충북,살미면,충청북도 충주시 살미면 세성양지말길 41 살미면 행정복지센터 주차장 옆,충청북도보건환경연구원,
충북,소이면,충청북도 음성군 소이면 소이로 409 소이면전천후게이트볼장 공터,충청북도보건환경연구원,
충북,송정동(봉명동),충북 청주시 흥덕구 직지대로 393(송정동) 충북문화재연구원 옥상,충청북도보건환경연구원,1989
충북,영동읍,충청북도 영동군 영동읍 계산로2길 25 레인보우도서관 옥상,충청북도보건환경연구원,2018
충북,영천동,충청북도 제천시 청풍호로8길 7 비점오염원 관리시설 뒤편 공터 (영천동),충청북도보건환경연구원,
충북,오송읍,충청북도 청주시 흥덕구 오송읍 오송생명로 150 오송읍 사무소 별관 지상,충청북도보건환경연구원,2018
충북,오창읍,충청북도 청주시 청원구 오창읍 오창대로 197 오창중앙공원내,충청북도보건환경연구원,2010
충북,옥천읍,충북 옥천군 옥천읍 중앙로 99(옥천군청 통합관제 센터 옥상) 옥천군청 통합관제 센터 옥상,충청북도보건환경연구원,2017
충북,용담동,충북 청주시 상당구 교동로139번길 20 라일락소공원 지상 (용담동),충청북도보건환경연구원,2002
충북,용암동,"충북 청주시 상당구 용암동 1590(중흥로 29), 용암1동 주민센터 3층 옥상 용암1동 주민센터 옥상",충청북도보건환경연구원,2004
충북,음성읍,충청북도 음성군 음성읍 중앙로 49 읍성보건소 옥상,충청북도보건환경연구원,2018
충북,장락동,"충북 제천시 장락동 672-8(내제로 318),(시립도서관 주차장 옆, 화단) 의병도서관 지상",충청북도보건환경연구원,1991
충북,중앙탑면,충청북도 충주시 중앙탑면 기업도시로 237 서충주 국공립어린이집 측면부지,충청북도보건환경연구원,
충북,증평읍,충청북도 증평군 증평읍 남하용강로 16 증평자전거공원 내 부지,충청북도보건환경연구원,2021
충북,진천읍,충북 진천군 진천읍 상산로 65 읍내리 370-1 진천읍사무소 옥상,충청북도보건환경연구원,2016
충북,청풍면,충청북도 제천시 청풍면 청풍호로 2115 청풍면행정복지센터 옆쪽 공터,충청북도보건환경연구원,
충북,칠금동,충북 충주시 칠금동 874번지(칠금동 주민센터 옥상)(칠금 중랑로 37) 칠금금릉동 주민센터 옥상,충청북도보건환경연구원,2006
충북,호암동,충북 충주시 호암동 562(충주시 청소년수련원 옥상)(중원대로 3324) 청소년수련원 옥상,충청북도보건환경연구원,1988
충북,황간면,충청북도 영동군 황간면 남성리 185 황간근린공원,충청북도보건환경연구원,2021
세종,부강면,세종특별자치시 부강면 부강외천로 20 문화복지회관 옥상,세종특별자치시보건환경연구원,2018
세종,신흥동,세종 조치원읍 군청로 87-16(신흥동) 세종특별자치시 조치원청사 옥상,세종특별자치시보건환경연구원,2015
세종,아름동,세종특별자치시 보듬3로 114 아름동커뮤니티센터 옥상 (아름동),세종특별자치시보건환경연구원,2014
세종,전의면,세종특별자치시 전의면 운주산로 1270 행정복지센터 지상,세종특별자치시보건환경연구원,2022
세종,한솔동,"세종특별자치시 누리로 27 첫마을 6단지 관리사무소 옥상 (한솔동, 첫마을6단지)",세종특별자치시보건환경연구원,2018
부산,개금동,부산광역시 부산진구 개금온정로17번길 51 개금3동 어린이놀이터 지상 (개금동),부산광역시보건환경연구원,2019
부산,광복동,부산 중구 광복로 55번길 10 광복동주민센터 옥상,부산광역시보건환경연구원,1985
부산,기장읍,부산 기장군 기장읍 읍내로 69 기장초등학교 옥상,부산광역시보건환경연구원,1999
부산,녹산동,부산 강서구 녹산산단 382로 49번길 39 부산환경공단 녹산사업소,부산광역시보건환경연구원,2003
부산,당리동,부산 사하구 제석로 41 낙동초등학교 운동장 동편 화단 (당리동),부산광역시보건환경연구원,2019
부산,대신동,부산 서구 대신로 150 부산국민체육센터 옥상,부산광역시보건환경연구원,2012
부산,대연동,부산 남구 수영로 196번길 80 부산공업고등학교 공동실습관 옥상,부산광역시보건환경연구원,1983
부산,대저동,부산광역시 강서구 체육공원로 43 강서체육공원 (대저1동),부산광역시보건환경연구원,1999
부산,덕천동,부산 북구 덕천2길 10 덕천초등학교 운동장 남쪽 화단,부산광역시보건환경연구원,1988
부산,덕포동,부산 사상구 삼덕로 83 덕포초등학교 운동장 북서쪽 화단 (덕포동),부산광역시보건환경연구원,2018
부산,명지동,부산광역시 강서구 명지동 3513-3 봄뜰공원 (명지동),부산광역시보건환경연구원,2020
부산,부곡동,부산 금정구 부곡로156번길 7 부곡2동 주민센터 옥상 (부곡동),부산광역시보건환경연구원,2000
부산,수정동,부산 동구 구청로 1 동구청 지상,부산광역시보건환경연구원,2011
부산,연산동,부산 연제구 중앙대로 1001 부산광역시청 녹음광장 창고,부산광역시보건환경연구원,2018
부산,용수리,부산 기장군 정관읍 용수로 4 정관읍사무소 옥상,부산광역시보건환경연구원,2004
부산,용호동,부산광역시 남구 이기대공원로 11 부산환경공단 남부사업소 북쪽 (용호동),부산광역시보건환경연구원,2021
부산,장림동,부산 사하구 장림로 161번길 2 장림1동주민센터 옥상,부산광역시보건환경연구원,1979