SIDO,STD_YYYYMM,AVG_PM2.5
서울특별시,201501,25.0
부산광역시,201501,27.0
대구광역시,201501,33.0
인천광역시,201501,31.0
광주광역시,201501,27.0
대전광역시,201501,34.0
울산광역시,201501,27.0
세종특별자치시,201501,
경기도,201501,30.25
강원도,201501,35.5
충청북도,201501,
충청남도,201501,
전라북도,201501,
전라남도,201501,27.0
경상북도,201501,
경상남도,201501,26.12
제주특별자치도,201501,24.0
서울특별시,201502,30.0
부산광역시,201502,31.0
대구광역시,201502,33.0
인천광역시,201502,33.0
광주광역시,201502,33.0
대전광역시,201502,36.0
울산광역시,201502,32.0
세종특별자치시,201502,
경기도,201502,36.5
강원도,201502,38.25
충청북도,201502,
충청남도,201502,
전라북도,201502,
전라남도,201502,29.83
경상북도,201502,
경상남도,201502,31.62
제주특별자치도,201502,25.0
서울특별시,201503,30.0
부산광역시,201503,27.0
대구광역시,201503,29.0
인천광역시,201503,31.0
광주광역시,201503,35.0
대전광역시,201503,37.0
울산광역시,201503,29.0
세종특별자치시,201503,
경기도,201503,34.0
강원도,201503,34.5
충청북도,201503,
충청남도,201503,
전라북도,201503,
전라남도,201503,29.67
경상북도,201503,
경상남도,201503,29.25
제주특별자치도,201503,31.0
서울특별시,201504,21.0
부산광역시,201504,24.0
대구광역시,201504,22.0
인천광역시,201504,30.0
광주광역시,201504,24.0
대전광역시,201504,23.0
울산광역시,201504,25.0
세종특별자치시,201504,
경기도,201504,23.43
강원도,201504,23.5
충청북도,201504,27.0
충청남도,201504,
전라북도,201504,36.0
전라남도,201504,22.0
경상북도,201504,
경상남도,201504,22.38
제주특별자치도,201504,23.0
서울특별시,201505,22.0
부산광역시,201505,31.0
대구광역시,201505,25.0
인천광역시,201505,28.0
광주광역시,201505,24.0
대전광역시,201505,29.0
울산광역시,201505,31.0
세종특별자치시,201505,
경기도,201505,23.62
강원도,201505,26.25
충청북도,201505,32.0
충청남도,201505,
전라북도,201505,36.33
전라남도,201505,23.0
경상북도,201505,
경상남도,201505,27.62
제주특별자치도,201505,22.0
서울특별시,201506,20.0
부산광역시,201506,30.0
대구광역시,201506,28.0
인천광역시,201506,26.0
광주광역시,201506,27.0
대전광역시,201506,27.0
울산광역시,201506,30.0
세종특별자치시,201506,
경기도,201506,20.14
강원도,201506,21.25
충청북도,201506,27.0
충청남도,201506,30.0
전라북도,201506,38.67
전라남도,201506,26.83
경상북도,201506,30.0
경상남도,201506,30.12
제주특별자치도,201506,25.0
서울특별시,201507,19.0
부산광역시,201507,21.0
대구광역시,201507,20.0
인천광역시,201507,23.0
광주광역시,201507,22.0
대전광역시,201507,19.0
울산광역시,201507,22.0
세종특별자치시,201507,
경기도,201507,18.29
강원도,201507,18.25
충청북도,201507,17.0
충청남도,201507,22.0
전라북도,201507,28.0
전라남도,201507,22.33
경상북도,201507,21.0
경상남도,201507,23.5
제주특별자치도,201507,22.0
서울특별시,201508,22.0
부산광역시,201508,23.0
대구광역시,201508,
인천광역시,201508,27.0
광주광역시,201508,22.0
대전광역시,201508,20.0
울산광역시,201508,24.0
세종특별자치시,201508,
경기도,201508,21.71
강원도,201508,21.5
충청북도,201508,21.0
충청남도,201508,26.0
전라북도,201508,26.0
전라남도,201508,23.0
경상북도,201508,21.0
경상남도,201508,24.25
제주특별자치도,201508,21.0
서울특별시,201509,16.0
부산광역시,201509,16.0
대구광역시,201509,15.0
인천광역시,201509,21.0
광주광역시,201509,
대전광역시,201509,18.0
울산광역시,201509,13.0
세종특별자치시,201509,
경기도,201509,16.57
강원도,201509,14.0
충청북도,201509,17.0
충청남도,201509,22.0
전라북도,201509,23.0
전라남도,201509,18.17
경상북도,201509,21.0
경상남도,201509,17.38
제주특별자치도,201509,14.0
서울특별시,201510,24.0
부산광역시,201510,25.0
대구광역시,201510,25.0
인천광역시,201510,31.0
광주광역시,201510,30.0
대전광역시,201510,33.0
울산광역시,201510,22.0
세종특별자치시,201510,
경기도,201510,25.33
강원도,201510,25.0
충청북도,201510,37.0
충청남도,201510,
전라북도,201510,41.5
전라남도,201510,28.33
경상북도,201510,32.0
경상남도,201510,23.29
제주특별자치도,201510,19.0
서울특별시,201511,21.0
부산광역시,201511,23.0
대구광역시,201511,22.0
인천광역시,201511,31.0
광주광역시,201511,25.0
대전광역시,201511,30.0
울산광역시,201511,18.0
세종특별자치시,201511,
경기도,201511,25.4
강원도,201511,23.25
충청북도,201511,33.0
충청남도,201511,
전라북도,201511,38.0
전라남도,201511,23.5
경상북도,201511,32.0
경상남도,201511,19.88
제주특별자치도,201511,20.67
서울특별시,201512,28.0
부산광역시,201512,29.0
대구광역시,201512,31.0
인천광역시,201512,38.0
광주광역시,201512,27.0
대전광역시,201512,34.0
울산광역시,201512,23.0
세종특별자치시,201512,
경기도,201512,35.6
강원도,201512,35.0
충청북도,201512,33.2
충청남도,201512,
전라북도,201512,41.0
전라남도,201512,26.5
경상북도,201512,42.0
경상남도,201512,24.75
제주특별자치도,201512,25.33
서울특별시,201601,27.0
부산광역시,201601,33.0
대구광역시,201601,30.0
인천광역시,201601,29.0
광주광역시,201601,26.0
대전광역시,201601,31.0
울산광역시,201601,24.0
세종특별자치시,201601,
경기도,201601,32.8
강원도,201601,31.6
충청북도,201601,33.2
충청남도,201601,32.0
전라북도,201601,40.2
전라남도,201601,26.83
경상북도,201601,41.0
경상남도,201601,26.25
제주특별자치도,201601,27.33
서울특별시,201602,23.0
부산광역시,201602,29.0
대구광역시,201602,25.0
인천광역시,201602,25.0
광주광역시,201602,24.0
대전광역시,201602,26.0
울산광역시,201602,21.0
세종특별자치시,201602,
경기도,201602,27.91
강원도,201602,29.2
충청북도,201602,27.4
충청남도,201602,28.0
전라북도,201602,31.4
전라남도,201602,26.0
경상북도,201602,36.0
경상남도,201602,24.12
제주특별자치도,201602,25.33
서울특별시,201603,32.0
부산광역시,201603,32.0
대구광역시,201603,29.0
인천광역시,201603,35.0
광주광역시,201603,29.0
대전광역시,201603,30.0
울산광역시,201603,28.0
세종특별자치시,201603,
경기도,201603,35.91
강원도,201603,36.2
충청북도,201603,34.0
충청남도,201603,35.0
전라북도,201603,39.6
전라남도,201603,29.33
경상북도,201603,42.0
경상남도,201603,27.12
제주특별자치도,201603,28.0
서울특별시,201604,30.0
부산광역시,201604,29.0
대구광역시,201604,25.0
인천광역시,201604,31.0
광주광역시,201604,29.0
대전광역시,201604,25.0
울산광역시,201604,27.0
세종특별자치시,201604,
경기도,201604,32.67
강원도,201604,30.8
충청북도,201604,27.8
충청남도,201604,32.0
전라북도,201604,35.0
전라남도,201604,26.5
경상북도,201604,31.0
경상남도,201604,25.38
제주특별자치도,201604,28.0
서울특별시,201605,29.0
부산광역시,201605,31.0
대구광역시,201605,26.0
인천광역시,201605,29.0
광주광역시,201605,27.0
대전광역시,201605,25.0
울산광역시,201605,29.0
세종특별자치시,201605,28.0
경기도,201605,28.75
강원도,201605,29.6
충청북도,201605,24.4
충청남도,201605,26.75
전라북도,201605,32.71
전라남도,201605,28.0
경상북도,201605,23.67
경상남도,201605,28.25
제주특별자치도,201605,28.33
서울특별시,201606,28.0
부산광역시,201606,27.0
대구광역시,201606,24.0
인천광역시,201606,25.0
광주광역시,201606,23.0
대전광역시,201606,22.0
울산광역시,201606,25.0
세종특별자치시,201606,25.0
경기도,201606,24.67
강원도,201606,26.2
충청북도,201606,21.0
충청남도,201606,26.25
전라북도,201606,31.86
전라남도,201606,24.0
경상북도,201606,20.67
경상남도,201606,26.38
제주특별자치도,201606,21.0
서울특별시,201607,21.0
부산광역시,201607,17.0
대구광역시,201607,19.0
인천광역시,201607,19.0
광주광역시,201607,15.0
대전광역시,201607,13.0
울산광역시,201607,19.0
세종특별자치시,201607,19.0
경기도,201607,18.93
강원도,201607,19.2
충청북도,201607,10.83
충청남도,201607,17.25
전라북도,201607,17.86
전라남도,201607,18.6
경상북도,201607,15.0
경상남도,201607,18.12
제주특별자치도,201607,13.0
서울특별시,201608,22.0
부산광역시,201608,21.0
대구광역시,201608,17.0
인천광역시,201608,20.0
광주광역시,201608,17.0
대전광역시,201608,15.0
울산광역시,201608,16.0
세종특별자치시,201608,24.0
경기도,201608,19.79
강원도,201608,17.5
충청북도,201608,12.0
충청남도,201608,23.0
전라북도,201608,22.43
전라남도,201608,22.67
경상북도,201608,15.0
경상남도,201608,20.29
제주특별자치도,201608,13.33
서울특별시,201609,23.0
부산광역시,201609,21.0
대구광역시,201609,20.0
인천광역시,201609,25.0
광주광역시,201609,21.0
대전광역시,201609,17.0
울산광역시,201609,20.0
세종특별자치시,201609,19.0
경기도,201609,23.44
강원도,201609,21.4
충청북도,201609,18.5
충청남도,201609,24.0
전라북도,201609,27.62
전라남도,201609,21.5
경상북도,201609,20.75
경상남도,201609,21.0
제주특별자치도,201609,18.67
서울특별시,201610,20.0
부산광역시,201610,21.0
대구광역시,201610,20.0
인천광역시,201610,21.0
광주광역시,201610,18.0
대전광역시,201610,16.0
울산광역시,201610,18.0
세종특별자치시,201610,17.0
경기도,201610,22.78
강원도,201610,22.2
충청북도,201610,21.0
충청남도,201610,23.0
전라북도,201610,25.0
전라남도,201610,18.17
경상북도,201610,21.75
경상남도,201610,19.5
제주특별자치도,201610,16.67
서울특별시,201611,28.0
부산광역시,201611,31.0
대구광역시,201611,31.0
인천광역시,201611,29.0
광주광역시,201611,26.0
대전광역시,201611,25.0
울산광역시,201611,27.0
세종특별자치시,201611,28.0
경기도,201611,34.22
강원도,201611,30.2
충청북도,201611,34.5
충청남도,201611,30.0
전라북도,201611,37.0
전라남도,201611,23.5
경상북도,201611,32.75
경상남도,201611,27.75
제주특별자치도,201611,19.0
서울특별시,201612,30.0
부산광역시,201612,30.0
대구광역시,201612,28.0
인천광역시,201612,29.0
광주광역시,201612,26.0
대전광역시,201612,25.0
울산광역시,201612,24.0
세종특별자치시,201612,27.0
경기도,201612,34.32
강원도,201612,29.0
충청북도,201612,35.33
충청남도,201612,26.75
전라북도,201612,35.75
전라남도,201612,21.67
경상북도,201612,29.25
경상남도,201612,24.62
제주특별자치도,201612,19.67
서울특별시,201701,32.0
부산광역시,201701,31.0
대구광역시,201701,29.0
인천광역시,201701,31.0
광주광역시,201701,30.0
대전광역시,201701,26.0
울산광역시,201701,26.0
세종특별자치시,201701,32.0
경기도,201701,38.38
강원도,201701,34.0
충청북도,201701,39.0
충청남도,201701,28.0
전라북도,201701,37.67
전라남도,201701,23.5
경상북도,201701,31.0
경상남도,201701,26.38
제주특별자치도,201701,20.67
서울특별시,201702,28.0
부산광역시,201702,27.0
대구광역시,201702,24.0
인천광역시,201702,26.0
광주광역시,201702,23.0
대전광역시,201702,24.0
울산광역시,201702,23.0
세종특별자치시,201702,28.0
경기도,201702,33.14
강원도,201702,31.83
충청북도,201702,33.83
충청남도,201702,24.4
전라북도,201702,31.0
전라남도,201702,20.83
경상북도,201702,30.0
경상남도,201702,22.62
제주특별자치도,201702,22.0
서울특별시,201703,39.0
부산광역시,201703,34.0
대구광역시,201703,28.0
인천광역시,201703,37.0
광주광역시,201703,33.0
대전광역시,201703,29.0
울산광역시,201703,33.0
세종특별자치시,201703,37.0
경기도,201703,42.87
강원도,201703,37.0
충청북도,201703,38.67
충청남도,201703,34.6
전라북도,201703,43.0
전라남도,201703,27.33
경상북도,201703,33.2
경상남도,201703,27.75
제주특별자치도,201703,27.0
서울특별시,201704,26.0
부산광역시,201704,27.0
대구광역시,201704,21.0
인천광역시,201704,27.0
광주광역시,201704,26.0
대전광역시,201704,22.0
울산광역시,201704,27.0
세종특별자치시,201704,23.0
경기도,201704,29.35
강원도,201704,26.17
충청북도,201704,26.86
충청남도,201704,25.2
전라북도,201704,31.78
전라남도,201704,22.17
경상북도,201704,23.2
경상남도,201704,22.12
제주특별자치도,201704,24.0
서울특별시,201705,24.0
부산광역시,201705,29.0
대구광역시,201705,23.0
인천광역시,201705,27.0
광주광역시,201705,24.0
대전광역시,201705,21.0
울산광역시,201705,31.0
세종특별자치시,201705,20.0
경기도,201705,26.97
강원도,201705,26.5
충청북도,201705,24.86
충청남도,201705,23.4
전라북도,201705,28.22
전라남도,201705,21.0
경상북도,201705,24.33
경상남도,201705,23.88
제주특별자치도,201705,20.67
서울특별시,201706,22.0
부산광역시,201706,26.0
대구광역시,201706,21.0
인천광역시,201706,24.0
광주광역시,201706,22.0
대전광역시,201706,21.0
울산광역시,201706,28.0
세종특별자치시,201706,21.0
경기도,201706,22.71
강원도,201706,22.67
충청북도,201706,22.86
충청남도,201706,22.2
전라북도,201706,25.78
전라남도,201706,20.67
경상북도,201706,22.33
경상남도,201706,23.25
제주특별자치도,201706,22.67
서울특별시,201707,22.0
부산광역시,201707,23.0
대구광역시,201707,19.0
인천광역시,201707,
광주광역시,201707,16.0
대전광역시,201707,17.0
울산광역시,201707,27.0
세종특별자치시,201707,18.0
경기도,201707,20.14
강원도,201707,19.0
충청북도,201707,16.14
충청남도,201707,19.6
전라북도,201707,18.89
전라남도,201707,19.0
경상북도,201707,17.14
경상남도,201707,22.5
제주특별자치도,201707,15.33
서울특별시,201708,13.0
부산광역시,201708,16.0
대구광역시,201708,12.0
인천광역시,201708,15.0
광주광역시,201708,15.0
대전광역시,201708,11.0
울산광역시,201708,16.0
세종특별자치시,201708,12.0
경기도,201708,10.75
강원도,201708,11.6
충청북도,201708,9.0
충청남도,201708,14.25
전라북도,201708,15.29
전라남도,201708,15.33
경상북도,201708,12.67
경상남도,201708,15.25
제주특별자치도,201708,13.0
서울특별시,201709,19.0
부산광역시,201709,23.0
대구광역시,201709,
인천광역시,201709,22.0
광주광역시,201709,22.0
대전광역시,201709,18.0
울산광역시,201709,22.0
세종특별자치시,201709,20.0
경기도,201709,20.35
강원도,201709,19.0
충청북도,201709,20.29
충청남도,201709,22.64
전라북도,201709,23.44
전라남도,201709,18.8
경상북도,201709,19.17
경상남도,201709,20.12
제주특별자치도,201709,19.67
서울특별시,201710,15.0
부산광역시,201710,16.0
대구광역시,201710,
인천광역시,201710,17.0
광주광역시,201710,20.0
대전광역시,201710,15.0
울산광역시,201710,15.0
세종특별자치시,201710,17.0
경기도,201710,18.25
강원도,201710,15.0
충청북도,201710,18.57
충청남도,201710,18.8
전라북도,201710,21.33
전라남도,201710,14.8
경상북도,201710,17.2
경상남도,201710,15.62
제주특별자치도,201710,17.33
서울특별시,201711,22.0
부산광역시,201711,27.0
대구광역시,201711,29.0
인천광역시,201711,23.0
광주광역시,201711,31.0
대전광역시,201711,24.0
울산광역시,201711,25.0
세종특별자치시,201711,24.0
경기도,201711,29.48
강원도,201711,24.17
충청북도,201711,32.0
충청남도,201711,26.09
전라북도,201711,30.5
전라남도,201711,22.4
경상북도,201711,30.29
경상남도,201711,24.12
제주특별자치도,201711,24.67
서울특별시,201712,32.0
부산광역시,201712,28.0
대구광역시,201712,29.0
인천광역시,201712,28.0
광주광역시,201712,28.0
대전광역시,201712,25.0
울산광역시,201712,24.0
세종특별자치시,201712,21.0
경기도,201712,35.94
강원도,201712,29.8
충청북도,201712,34.14
충청남도,201712,25.2
전라북도,201712,29.17
전라남도,201712,21.75
경상북도,201712,31.43
경상남도,201712,23.62
제주특별자치도,201712,23.33
서울특별시,201801,32.0
부산광역시,201801,28.0
대구광역시,201801,30.0
인천광역시,201801,29.0
광주광역시,201801,28.0
대전광역시,201801,30.0
울산광역시,201801,25.0
세종특별자치시,201801,28.0
경기도,201801,37.34
강원도,201801,32.0
충청북도,201801,38.43
충청남도,201801,29.58
전라북도,201801,33.0
전라남도,201801,24.89
경상북도,201801,34.75
경상남도,201801,23.57
제주특별자치도,201801,19.33
서울특별시,201802,30.0
부산광역시,201802,30.0
대구광역시,201802,28.0
인천광역시,201802,27.0
광주광역시,201802,31.0
대전광역시,201802,28.0
울산광역시,201802,27.0
세종특별자치시,201802,26.0
경기도,201802,33.06
강원도,201802,28.14
충청북도,201802,31.71
충청남도,201802,26.0
전라북도,201802,30.73
전라남도,201802,27.25
경상북도,201802,31.33
경상남도,201802,24.89
제주특별자치도,201802,22.33
서울특별시,201803,34.0
부산광역시,201803,26.0
대구광역시,201803,26.0
인천광역시,201803,32.0
광주광역시,201803,32.0
대전광역시,201803,27.0
울산광역시,201803,23.0
세종특별자치시,201803,26.0
경기도,201803,37.0
강원도,201803,27.17
충청북도,201803,32.86
충청남도,201803,26.83
전라북도,201803,31.5
전라남도,201803,27.38
경상북도,201803,30.0
경상남도,201803,22.7
제주특별자치도,201803,23.67
서울특별시,201804,26.0
부산광역시,201804,28.0
대구광역시,201804,24.0
인천광역시,201804,24.0
광주광역시,201804,25.0
대전광역시,201804,23.0
울산광역시,201804,26.0
세종특별자치시,201804,23.0
경기도,201804,26.74
강원도,201804,26.29
충청북도,201804,27.44
충청남도,201804,20.56
전라북도,201804,25.27
전라남도,201804,22.43
경상북도,201804,26.78
경상남도,201804,23.1
제주특별자치도,201804,24.33
서울특별시,201805,23.0
부산광역시,201805,24.0
대구광역시,201805,21.0
인천광역시,201805,21.0
광주광역시,201805,21.0
대전광역시,201805,19.0
울산광역시,201805,24.0
세종특별자치시,201805,21.0
경기도,201805,22.63
강원도,201805,22.57
충청북도,201805,24.56
충청남도,201805,18.31
전라북도,201805,20.73
전라남도,201805,20.2
경상북도,201805,22.0
경상남도,201805,19.6
제주특별자치도,201805,20.33
서울특별시,201806,24.0
부산광역시,201806,25.0
대구광역시,201806,22.0
인천광역시,201806,22.0
광주광역시,201806,27.0
대전광역시,201806,19.0
울산광역시,201806,29.0
세종특별자치시,201806,22.0
경기도,201806,23.28
강원도,201806,20.29
충청북도,201806,24.33
충청남도,201806,20.93
전라북도,201806,26.55
전라남도,201806,23.4
경상북도,201806,21.89
경상남도,201806,22.3
제주특별자치도,201806,20.67
서울특별시,201807,16.0
부산광역시,201807,23.0
대구광역시,201807,18.0
인천광역시,201807,16.0
광주광역시,201807,15.0
대전광역시,201807,14.0
울산광역시,201807,27.0
세종특별자치시,201807,15.0
경기도,201807,14.07
강원도,201807,17.29
충청북도,201807,19.11
충청남도,201807,12.5
전라북도,201807,13.67
전라남도,201807,15.5
경상북도,201807,17.89
경상남도,201807,17.4
제주특별자치도,201807,16.33
서울특별시,201808,10.0
부산광역시,201808,14.0
대구광역시,201808,12.0
인천광역시,201808,12.0
광주광역시,201808,14.0
대전광역시,201808,11.0
울산광역시,201808,16.0
세종특별자치시,201808,10.0
경기도,201808,11.0
강원도,201808,12.43
충청북도,201808,13.33
충청남도,201808,10.0
전라북도,201808,12.92
전라남도,201808,13.38
경상북도,201808,13.9
경상남도,201808,11.6
제주특별자치도,201808,13.0
서울특별시,201809,14.0
부산광역시,201809,14.0
대구광역시,201809,12.0
인천광역시,201809,15.0
광주광역시,201809,13.0
대전광역시,201809,11.0
울산광역시,201809,14.0
세종특별자치시,201809,13.0
경기도,201809,12.07
강원도,201809,13.33
충청북도,201809,13.11
충청남도,201809,13.06
전라북도,201809,12.23
전라남도,201809,13.0
경상북도,201809,12.6
경상남도,201809,11.1
제주특별자치도,201809,13.0
서울특별시,201810,15.0
부산광역시,201810,17.0
대구광역시,201810,17.0
인천광역시,201810,16.0
광주광역시,201810,20.0
대전광역시,201810,17.0
울산광역시,201810,19.0
세종특별자치시,201810,14.0
경기도,201810,18.68
강원도,201810,14.0
충청북도,201810,20.89
충청남도,201810,15.31
전라북도,201810,18.38
전라남도,201810,16.44
경상북도,201810,20.3
경상남도,201810,14.8
제주특별자치도,201810,16.33
서울특별시,201811,28.0
부산광역시,201811,26.0
대구광역시,201811,31.0
인천광역시,201811,29.0
광주광역시,201811,36.0
대전광역시,201811,34.0
울산광역시,201811,29.0
세종특별자치시,201811,29.0
경기도,201811,35.29
강원도,201811,24.14
충청북도,201811,39.44
충청남도,201811,33.25
전라북도,201811,36.07
전라남도,201811,29.9
경상북도,201811,34.78
경상남도,201811,23.4
제주특별자치도,201811,22.67
서울특별시,201812,24.0
부산광역시,201812,23.0
대구광역시,201812,26.0
인천광역시,201812,24.0
광주광역시,201812,26.0
대전광역시,201812,27.0
울산광역시,201812,19.0
세종특별자치시,201812,31.0
경기도,201812,28.78
강원도,201812,21.22
충청북도,201812,32.56
충청남도,201812,24.81
전라북도,201812,28.29
전라남도,201812,23.0
경상북도,201812,27.0
경상남도,201812,19.3
제주특별자치도,201812,16.67
서울특별시,201901,38.0
부산광역시,201901,29.0
대구광역시,201901,33.0
인천광역시,201901,33.0
광주광역시,201901,33.0
대전광역시,201901,34.0
울산광역시,201901,26.0
세종특별자치시,201901,41.0
경기도,201901,42.0
강원도,201901,31.92
충청북도,201901,45.8
충청남도,201901,36.25
전라북도,201901,38.53
전라남도,201901,28.45
경상북도,201901,35.1
경상남도,201901,23.4
제주특별자치도,201901,22.0
서울특별시,201902,35.0
부산광역시,201902,28.0
대구광역시,201902,33.0
인천광역시,201902,31.0
광주광역시,201902,34.0
대전광역시,201902,36.0
